Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Australia,2016,Phishing,IT,55.18,66776,Unknown,Zero-day,Encryption,29
China,2018,DDoS,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21
France,2024,SQL Injection,Retail,3.07,901137,Nation-state,Zero-day,Antivirus,10
Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47
USA,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35
Russia,2017,Man-in-the-Middle,IT,55.23,12439,Nation-state,Weak Passwords,Firewall,20
Germany,2021,Man-in-the-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14
USA,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53
USA,2017,Phishing,Telecommunications,19.6,889404,Unknown,Weak Passwords,Firewall,60
USA,2017,Man-in-the-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63
Brazil,2015,SQL Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65
Australia,2015,DDoS,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29
China,2024,SQL Injection,Education,13.61,394335,Unknown,Zero-day,Encryption,43
Japan,2016,Man-in-the-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15
Germany,2015,DDoS,IT,91.79,846200,Unknown,Social Engineering,AI-based Detection,26
Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18
UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43
UK,2023,DDoS,Education,54.0,806965,Insider,Social Engineering,AI-based Detection,56
Russia,2018,Ransomware,Education,79.93,587346,Hacker Group,Social Engineering,Antivirus,39
Japan,2015,Phishing,Education,2.43,552342,Unknown,Zero-day,VPN,62
France,2019,DDoS,Education,66.65,47104,Insider,Social Engineering,VPN,5
USA,2016,DDoS,Retail,13.83,586557,Hacker Group,Social Engineering,AI-based Detection,37
Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35
USA,2022,Man-in-the-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70
France,2021,Malware,Telecommunications,68.64,894858,Hacker Group,Social Engineering,Firewall,19
UK,2018,Man-in-the-Middle,IT,75.81,574089,Unknown,Unpatched Software,Firewall,32
USA,2015,DDoS,Healthcare,62.99,232622,Nation-state,Weak Passwords,Antivirus,33
India,2015,Malware,Retail,89.95,917351,Unknown,Zero-day,Encryption,43
Australia,2024,SQL Injection,IT,98.31,694333,Insider,Unpatched Software,VPN,48
India,2017,Ransomware,Government,38.87,968822,Nation-state,Weak Passwords,Antivirus,25
Brazil,2015,DDoS,Banking,18.87,976838,Unknown,Weak Passwords,Firewall,65
Australia,2019,DDoS,Education,54.63,22739,Insider,Unpatched Software,Firewall,44
UK,2015,Man-in-the-Middle,Retail,7.92,657442,Nation-state,Social Engineering,Firewall,29
Brazil,2018,Phishing,Education,57.59,257681,Nation-state,Zero-day,Antivirus,40
Japan,2021,Man-in-the-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72
France,2015,Ransomware,IT,84.02,824619,Unknown,Social Engineering,Firewall,21
Russia,2016,SQL Injection,Government,77.94,538804,Hacker Group,Weak Passwords,VPN,43
Japan,2023,Phishing,Healthcare,49.32,463704,Hacker Group,Weak Passwords,Firewall,14
China,2021,Man-in-the-Middle,Telecommunications,66.61,596341,Insider,Weak Passwords,AI-based Detection,9
Brazil,2020,Malware,Retail,89.71,529588,Nation-state,Weak Passwords,AI-based Detection,65
Germany,2018,Man-in-the-Middle,Retail,43.28,22241,Hacker Group,Zero-day,Firewall,5
Brazil,2020,Phishing,Banking,21.65,434936,Hacker Group,Zero-day,Encryption,24
Japan,2019,Malware,IT,33.61,52191,Nation-state,Weak Passwords,Antivirus,72
Australia,2015,Malware,Banking,8.24,242247,Insider,Social Engineering,Antivirus,29
Brazil,2020,Phishing,Banking,34.5,372427,Insider,Weak Passwords,VPN,72
Brazil,2021,Ransomware,Healthcare,67.25,796351,Nation-state,Weak Passwords,AI-based Detection,21
Japan,2020,SQL Injection,Telecommunications,38.29,505831,Hacker Group,Social Engineering,Encryption,40
Germany,2020,Malware,Government,32.59,743344,Insider,Zero-day,VPN,4
China,2017,Phishing,Healthcare,70.4,651809,Unknown,Unpatched Software,Firewall,17
Brazil,2023,SQL Injection,Telecommunications,31.54,839281,Insider,Weak Passwords,Encryption,25
Brazil,2018,SQL Injection,Retail,84.79,99876,Insider,Unpatched Software,Firewall,56
UK,2016,SQL Injection,Telecommunications,98.39,836521,Insider,Weak Passwords,Firewall,19
Japan,2022,SQL Injection,Retail,43.73,392831,Nation-state,Weak Passwords,AI-based Detection,71
China,2015,Ransomware,Government,86.88,99312,Unknown,Zero-day,AI-based Detection,60
Japan,2017,Malware,Education,26.24,945147,Insider,Zero-day,AI-based Detection,20
USA,2018,DDoS,IT,26.29,943039,Insider,Zero-day,Firewall,28
Brazil,2016,Malware,Retail,76.81,670642,Unknown,Unpatched Software,AI-based Detection,10
USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48
China,2022,Ransomware,Education,49.56,257224,Hacker Group,Social Engineering,Firewall,46
India,2019,DDoS,Banking,58.96,891815,Unknown,Weak Passwords,Antivirus,19
China,2020,Ransomware,Banking,98.05,168617,Hacker Group,Unpatched Software,VPN,16
UK,2016,Ransomware,Government,83.67,701152,Nation-state,Social Engineering,Firewall,53
USA,2023,SQL Injection,Banking,30.66,749609,Nation-state,Zero-day,AI-based Detection,28
UK,2024,Man-in-the-Middle,Government,86.74,658712,Hacker Group,Unpatched Software,VPN,25
China,2022,DDoS,Retail,77.74,642501,Hacker Group,Zero-day,AI-based Detection,19
Australia,2017,Malware,Banking,92.65,817255,Hacker Group,Weak Passwords,Antivirus,62
China,2021,Ransomware,Government,5.96,92237,Nation-state,Weak Passwords,AI-based Detection,47
Australia,2023,Man-in-the-Middle,Telecommunications,66.91,156195,Nation-state,Unpatched Software,Firewall,58
India,2016,Man-in-the-Middle,IT,23.38,618125,Nation-state,Zero-day,VPN,16
Australia,2021,Man-in-the-Middle,Banking,82.04,828293,Insider,Weak Passwords,Antivirus,64
Brazil,2017,Malware,Telecommunications,6.09,436100,Unknown,Zero-day,Encryption,12
USA,2020,DDoS,Retail,14.12,787194,Unknown,Zero-day,VPN,51
France,2021,Phishing,Retail,31.52,380086,Nation-state,Social Engineering,Encryption,65
India,2024,Malware,Healthcare,13.74,330581,Unknown,Zero-day,AI-based Detection,54
Australia,2017,SQL Injection,IT,99.99,672966,Hacker Group,Zero-day,Firewall,13
India,2022,Malware,Telecommunications,19.56,772330,Hacker Group,Unpatched Software,Encryption,20
Japan,2018,Man-in-the-Middle,Telecommunications,81.61,255844,Insider,Unpatched Software,Encryption,8
Germany,2017,Ransomware,Government,80.7,107009,Nation-state,Social Engineering,Encryption,67
Japan,2020,SQL Injection,Retail,10.41,872095,Nation-state,Unpatched Software,Firewall,44
France,2015,DDoS,Banking,85.36,50427,Hacker Group,Zero-day,Encryption,5
USA,2017,Phishing,Retail,15.24,599197,Unknown,Zero-day,AI-based Detection,8
Brazil,2022,Malware,Telecommunications,40.08,459643,Nation-state,Weak Passwords,Antivirus,10
China,2021,DDoS,Telecommunications,10.2,950257,Nation-state,Weak Passwords,AI-based Detection,61
Australia,2022,Phishing,Healthcare,72.53,496317,Hacker Group,Weak Passwords,Antivirus,62
Brazil,2017,Man-in-the-Middle,Healthcare,96.36,596078,Hacker Group,Weak Passwords,Encryption,10
Brazil,2019,Ransomware,Banking,88.63,701522,Insider,Social Engineering,VPN,10
India,2015,Man-in-the-Middle,Healthcare,37.15,357124,Nation-state,Weak Passwords,Antivirus,31
Germany,2022,SQL Injection,Government,47.92,112688,Nation-state,Social Engineering,VPN,15
India,2018,Phishing,Retail,14.46,743107,Hacker Group,Social Engineering,VPN,49
India,2022,Man-in-the-Middle,Banking,32.47,947465,Unknown,Unpatched Software,AI-based Detection,69
Japan,2019,Ransomware,Government,81.97,358572,Hacker Group,Weak Passwords,VPN,48
India,2024,Malware,IT,92.08,430701,Hacker Group,Unpatched Software,VPN,54
Russia,2021,DDoS,Banking,94.48,281900,Hacker Group,Zero-day,Antivirus,1
Australia,2021,Malware,IT,84.74,391257,Hacker Group,Zero-day,AI-based Detection,66
China,2019,Man-in-the-Middle,Banking,81.8,277875,Nation-state,Social Engineering,Antivirus,43
Japan,2015,DDoS,IT,33.27,207244,Hacker Group,Zero-day,Antivirus,38
India,2018,Malware,Healthcare,66.96,294133,Insider,Social Engineering,VPN,20
Brazil,2023,Ransomware,Telecommunications,71.4,66852,Hacker Group,Weak Passwords,VPN,58
China,2024,Ransomware,Telecommunications,67.47,54722,Nation-state,Social Engineering,Encryption,13
Australia,2022,Phishing,Education,17.32,178951,Nation-state,Weak Passwords,Antivirus,26
USA,2020,Ransomware,Healthcare,17.24,682791,Insider,Social Engineering,Encryption,44
Russia,2016,SQL Injection,Education,17.05,888205,Nation-state,Weak Passwords,AI-based Detection,38
France,2022,Phishing,IT,52.19,794901,Insider,Zero-day,VPN,26
France,2018,DDoS,Government,27.44,978683,Insider,Zero-day,VPN,35
Australia,2015,Phishing,Telecommunications,73.77,639279,Nation-state,Zero-day,VPN,44
UK,2020,Malware,Retail,10.94,675338,Hacker Group,Weak Passwords,VPN,54
Australia,2021,Man-in-the-Middle,Government,42.24,147589,Insider,Unpatched Software,Antivirus,31
Australia,2017,DDoS,Government,82.39,646824,Hacker Group,Zero-day,AI-based Detection,2
China,2016,Phishing,Government,37.62,465317,Insider,Social Engineering,Firewall,20
USA,2023,Malware,IT,21.53,233379,Unknown,Unpatched Software,Antivirus,50
China,2023,Malware,IT,43.51,684108,Unknown,Weak Passwords,Firewall,24
Russia,2020,DDoS,Healthcare,44.32,130510,Unknown,Social Engineering,AI-based Detection,66
Brazil,2016,Man-in-the-Middle,Banking,43.45,489853,Nation-state,Zero-day,AI-based Detection,28
Australia,2022,Malware,Healthcare,47.92,25905,Nation-state,Unpatched Software,VPN,40
Japan,2023,Malware,IT,73.74,795367,Hacker Group,Zero-day,AI-based Detection,55
Australia,2023,Man-in-the-Middle,Retail,93.25,349335,Nation-state,Zero-day,Firewall,27
USA,2015,Ransomware,Government,13.92,366147,Hacker Group,Weak Passwords,VPN,38
India,2018,Phishing,Government,41.1,25094,Nation-state,Unpatched Software,VPN,42
Russia,2024,Phishing,Retail,44.08,988889,Nation-state,Unpatched Software,Encryption,31
Japan,2022,Man-in-the-Middle,IT,65.19,216303,Hacker Group,Unpatched Software,AI-based Detection,49
Australia,2023,Ransomware,Healthcare,21.54,388211,Nation-state,Weak Passwords,Antivirus,22
USA,2022,Man-in-the-Middle,Education,83.61,30235,Insider,Weak Passwords,Encryption,47
USA,2023,Malware,Banking,13.99,109083,Nation-state,Weak Passwords,Antivirus,49
Germany,2017,Malware,Healthcare,49.09,397361,Hacker Group,Weak Passwords,Encryption,57
UK,2016,Ransomware,Retail,32.16,329026,Nation-state,Weak Passwords,VPN,31
Australia,2017,Man-in-the-Middle,IT,45.5,889521,Nation-state,Weak Passwords,Encryption,51
USA,2018,SQL Injection,Healthcare,73.16,849755,Insider,Weak Passwords,Encryption,46
China,2021,Phishing,Education,70.2,631101,Unknown,Zero-day,Firewall,36
Japan,2016,DDoS,Healthcare,10.62,625954,Insider,Weak Passwords,AI-based Detection,71
Japan,2023,Man-in-the-Middle,IT,26.65,220769,Unknown,Zero-day,VPN,71
China,2018,SQL Injection,Healthcare,52.01,527443,Hacker Group,Unpatched Software,Firewall,24
Germany,2020,DDoS,Government,32.71,846169,Hacker Group,Zero-day,VPN,59
China,2017,Malware,Education,47.46,783239,Unknown,Social Engineering,VPN,41
China,2022,Malware,Telecommunications,11.39,104772,Unknown,Social Engineering,Firewall,43
Germany,2015,DDoS,Telecommunications,31.68,33098,Hacker Group,Zero-day,AI-based Detection,8
UK,2024,Man-in-the-Middle,Healthcare,65.78,512847,Insider,Social Engineering,Encryption,72
Australia,2018,SQL Injection,Banking,71.01,840106,Insider,Weak Passwords,VPN,44
Brazil,2024,SQL Injection,Healthcare,69.57,269458,Insider,Zero-day,Firewall,15
Germany,2021,Ransomware,Healthcare,66.84,242893,Nation-state,Zero-day,Antivirus,50
Russia,2018,Phishing,Education,5.25,605947,Insider,Zero-day,Firewall,13
Japan,2018,SQL Injection,Education,60.57,468399,Nation-state,Zero-day,VPN,56
India,2015,Ransomware,IT,61.68,503774,Hacker Group,Zero-day,Firewall,37
France,2021,Phishing,Retail,45.74,754278,Insider,Social Engineering,Firewall,46
Japan,2019,SQL Injection,IT,89.81,126120,Unknown,Social Engineering,Encryption,39
UK,2018,Malware,IT,73.27,210024,Hacker Group,Weak Passwords,Antivirus,20
France,2022,DDoS,Banking,51.33,970775,Insider,Unpatched Software,AI-based Detection,21
France,2017,Ransomware,Education,19.84,832471,Insider,Social Engineering,Firewall,54
India,2024,Phishing,IT,97.25,165316,Unknown,Zero-day,Encryption,61
Australia,2016,DDoS,Retail,2.96,990886,Insider,Weak Passwords,AI-based Detection,59
UK,2021,Malware,Telecommunications,82.28,370146,Nation-state,Zero-day,VPN,55
China,2021,Man-in-the-Middle,Retail,49.59,284823,Unknown,Social Engineering,Antivirus,50
UK,2016,Malware,Healthcare,65.14,742857,Nation-state,Weak Passwords,Antivirus,49
Brazil,2024,DDoS,Healthcare,70.0,484101,Hacker Group,Unpatched Software,VPN,9
UK,2015,Ransomware,Telecommunications,22.58,368441,Hacker Group,Weak Passwords,AI-based Detection,71
Russia,2019,Malware,Banking,55.42,945465,Unknown,Weak Passwords,Firewall,5
USA,2016,DDoS,Healthcare,27.08,551900,Unknown,Social Engineering,VPN,17
UK,2021,Malware,Banking,73.02,731722,Hacker Group,Weak Passwords,VPN,28
Germany,2018,Phishing,Banking,88.73,436597,Insider,Unpatched Software,AI-based Detection,33
France,2020,DDoS,Education,16.35,728830,Insider,Zero-day,AI-based Detection,45
USA,2022,Ransomware,IT,85.61,826018,Hacker Group,Weak Passwords,Firewall,24
Russia,2020,Ransomware,Telecommunications,76.61,791323,Insider,Unpatched Software,Encryption,40
USA,2015,SQL Injection,Banking,42.77,117454,Insider,Unpatched Software,Firewall,19
Japan,2023,Ransomware,Retail,95.3,986882,Hacker Group,Weak Passwords,Encryption,45
France,2016,Phishing,IT,78.12,770227,Unknown,Zero-day,Antivirus,20
China,2024,SQL Injection,Government,21.33,997411,Nation-state,Social Engineering,Antivirus,25
Japan,2020,Malware,Education,66.93,640603,Hacker Group,Unpatched Software,VPN,23
Brazil,2024,Phishing,Telecommunications,81.54,499671,Hacker Group,Weak Passwords,VPN,4
India,2020,Phishing,Retail,12.64,805905,Nation-state,Social Engineering,Firewall,54
France,2017,Phishing,Retail,43.2,377252,Nation-state,Unpatched Software,Encryption,8
USA,2018,Ransomware,Retail,20.58,653168,Unknown,Weak Passwords,AI-based Detection,3
Brazil,2017,Phishing,IT,26.62,955790,Nation-state,Zero-day,Encryption,44
USA,2018,Phishing,Telecommunications,15.56,734448,Unknown,Social Engineering,Encryption,37
China,2021,Ransomware,Retail,12.97,425647,Unknown,Zero-day,Antivirus,4
France,2019,SQL Injection,Banking,98.04,278315,Unknown,Unpatched Software,VPN,3
UK,2020,Man-in-the-Middle,Telecommunications,63.35,294447,Unknown,Zero-day,AI-based Detection,54
Brazil,2020,DDoS,Education,26.57,384988,Insider,Zero-day,AI-based Detection,19
Japan,2020,Man-in-the-Middle,Education,29.58,141411,Insider,Unpatched Software,AI-based Detection,58
France,2023,Phishing,Healthcare,72.54,581712,Insider,Social Engineering,VPN,12
UK,2020,Ransomware,Education,35.16,100749,Unknown,Zero-day,Firewall,62
Russia,2019,Malware,Education,56.94,217880,Nation-state,Unpatched Software,VPN,48
France,2023,Man-in-the-Middle,Telecommunications,99.71,357542,Hacker Group,Zero-day,Antivirus,21
UK,2021,Malware,Telecommunications,77.18,347426,Hacker Group,Zero-day,Antivirus,36
France,2018,Man-in-the-Middle,Education,36.92,829140,Nation-state,Unpatched Software,Encryption,2
France,2017,SQL Injection,Healthcare,42.8,683189,Unknown,Zero-day,VPN,19
India,2019,Ransomware,Banking,89.41,453441,Hacker Group,Unpatched Software,VPN,29
Australia,2017,Malware,IT,33.34,673439,Insider,Weak Passwords,Firewall,13
Brazil,2016,SQL Injection,Telecommunications,13.94,832297,Nation-state,Weak Passwords,AI-based Detection,69
India,2018,Phishing,IT,13.05,400964,Nation-state,Weak Passwords,VPN,19
France,2019,DDoS,Telecommunications,52.94,192293,Nation-state,Weak Passwords,VPN,57
Russia,2019,Man-in-the-Middle,Banking,26.02,565292,Insider,Unpatched Software,Antivirus,27
Brazil,2016,Phishing,Education,9.23,774750,Nation-state,Social Engineering,Firewall,70
France,2022,Phishing,IT,78.2,666996,Insider,Weak Passwords,Encryption,59
Germany,2016,Malware,Healthcare,94.12,21382,Unknown,Weak Passwords,Encryption,21
Germany,2021,Phishing,Telecommunications,55.14,463525,Nation-state,Unpatched Software,AI-based Detection,59
Russia,2022,Ransomware,Telecommunications,16.98,905673,Insider,Weak Passwords,VPN,54
India,2024,Man-in-the-Middle,Retail,30.59,619881,Nation-state,Unpatched Software,Antivirus,42
France,2015,Malware,Banking,20.27,987350,Insider,Zero-day,Antivirus,4
USA,2019,Phishing,Education,97.32,849084,Nation-state,Zero-day,VPN,62
UK,2017,Man-in-the-Middle,Education,13.06,799627,Hacker Group,Weak Passwords,Antivirus,36
France,2023,Man-in-the-Middle,Education,87.39,307155,Unknown,Unpatched Software,Antivirus,28
Japan,2024,Ransomware,Retail,88.36,989106,Unknown,Zero-day,Firewall,3
India,2020,Man-in-the-Middle,Retail,84.77,129144,Hacker Group,Weak Passwords,Antivirus,25
UK,2015,Malware,Government,57.81,767562,Unknown,Zero-day,Antivirus,61
Brazil,2015,Malware,IT,74.03,956965,Hacker Group,Unpatched Software,Encryption,40
Germany,2023,Phishing,Retail,87.55,291580,Unknown,Unpatched Software,Firewall,25
Germany,2017,Ransomware,Education,76.96,950276,Hacker Group,Unpatched Software,Firewall,31
UK,2017,Man-in-the-Middle,Telecommunications,89.07,932075,Unknown,Unpatched Software,Firewall,72
Germany,2015,DDoS,Healthcare,33.96,931456,Hacker Group,Zero-day,AI-based Detection,22
Japan,2023,Ransomware,Retail,28.77,983880,Nation-state,Unpatched Software,Antivirus,54
China,2022,DDoS,Education,18.49,20680,Nation-state,Social Engineering,Firewall,29
Australia,2018,Malware,Education,21.39,437056,Hacker Group,Zero-day,AI-based Detection,52
India,2021,Malware,Government,57.91,769222,Insider,Weak Passwords,Antivirus,32
Australia,2022,Malware,Government,4.5,436928,Unknown,Social Engineering,Antivirus,34
China,2021,DDoS,Healthcare,38.67,340194,Unknown,Weak Passwords,VPN,44
India,2019,DDoS,IT,44.01,612030,Nation-state,Unpatched Software,Antivirus,47
Australia,2019,Man-in-the-Middle,IT,87.89,551100,Insider,Zero-day,VPN,9
Brazil,2022,Phishing,IT,26.02,251768,Unknown,Social Engineering,VPN,6
Japan,2015,DDoS,Retail,11.69,680720,Nation-state,Zero-day,Encryption,2
USA,2017,DDoS,Telecommunications,51.69,156213,Nation-state,Weak Passwords,VPN,9
Japan,2020,Man-in-the-Middle,Retail,33.75,468856,Hacker Group,Unpatched Software,Firewall,15
France,2023,Ransomware,Government,63.45,90678,Nation-state,Unpatched Software,Firewall,22
UK,2022,DDoS,Retail,45.73,554585,Hacker Group,Social Engineering,VPN,63
China,2021,Man-in-the-Middle,Banking,33.3,935265,Nation-state,Unpatched Software,Firewall,20
